Symbol,SName
NETWEB.BO,Netweb Technologies India Limited
ANANTRAJ.BO,Anant Raj Limited
INGERRAND.BO,Ingersoll-Rand (India) Limited
MGL.BO,Mahanagar Gas Limited
OLECTRA.BO,Olectra Greentech Limited
CLEAN.BO,Clean Science and Technology Limited
BLS.BO,BLS International Services Limited
RHIM.BO,RHI Magnesita India Limited
FINEORG.BO,Fine Organic Industries Limited
GPIL.BO,Godawari Power & Ispat Limited
WELCORP.BO,Welspun Corp Limited
INDGN.BO,Indegene Limited
FSL.BO,Firstsource Solutions Limited
WELSPUNLIV.BO,Welspun Living Limited
ERIS.BO,Eris Lifesciences Limited
HONASA.BO,Honasa Consumer Limited
ALOKINDS.BO,ALOK INDUSTRIES LTD.
SPLPETRO.BO,Supreme Petrochem Limited
VTL.BO,Vardhman Textiles Limited
PVRINOX.BO,PVR INOX Limited
AMBER.BO,Amber Enterprises India Limited
JPPOWER.BO,Jaiprakash Power Ventures Limited
RAILTEL.BO,RailTel Corporation of India Limited
J&KBANK.BO,The Jammu and Kashmir Bank Limited
RKFORGE.BO,Ramkrishna Forgings Limited
RAINBOW.BO,Rainbow Children's Medicare Limited
HBLPOWER.BO,HBL Power Systems Limited
HAPPSTMNDS.BO,Happiest Minds Technologies Limited
NUVOCO.BO,Nuvoco Vistas Corporation Limited
TANLA.BO,Tanla Platforms Limited
AKZOINDIA.BO,Akzo Nobel India Limited
EIDPARRY.BO,E.I.D.- Parry (India) Limited
PRAJIND.BO,Praj Industries Limited
NEWGEN.BO,Newgen Software Technologies Limited
GMDCLTD.BO,Gujarat Mineral Development Corporation Limited
UTIAMC.BO,UTI Asset Management Company Limited
SCI.BO,The Shipping Corporation of India Limited
RPOWER.BO,Reliance Power Limited
WESTLIFE.BO,Westlife Foodworld Limited
KFINTECH.BO,KFin Technologies Limited
USHAMART.BO,Usha Martin Limited
PNCINFRA.BO,PNC Infratech Limited
BIRLACORPN.BO,Birla Corporation Limited
INOXINDIA.BO,INOX India Limited
FORCEMOT.BO,Force Motors Limited
BAJAJELEC.BO,Bajaj Electricals Limited
TRIL.BO,Transformers and Rectifiers (India) Limited
JUBLPHARMA.BO,Jubilant Pharmova Limited
LEMONTREE.BO,Lemon Tree Hotels Limited
ZYDUSWELL.BO,Zydus Wellness Limited
DOMS.BO,DOMS Industries Limited
BIRET.BO,Brookfield India Real Estate Trust
EQUITASBNK.BO,Equitas Small Finance Bank Limited
BBTC.BO,"The Bombay Burmah Trading Corporation, Limited"
ECLERX.BO,eClerx Services Limited
MMTC.BO,MMTC Limited
AETHER.BO,Aether Industries Limited
HGINFRA.BO,H.G. Infra Engineering Limited
GODREJAGRO.BO,Godrej Agrovet Limited
CUB.BO,City Union Bank Limited
HAPPYFORGE.BO,Happy Forgings Limited
GRANULES.BO,Granules India Limited
GRAPHITE.BO,Graphite India Limited
VOLTAMP.BO,Voltamp Transformers Limited
KPIGREEN.BO,KPI Green Energy Limited
CANFINHOME.BO,Can Fin Homes Limited
VESUVIUS.BO,Vesuvius India Limited
TEGA.BO,Tega Industries Limited
KNRCON.BO,KNR Constructions Limited
DBREALTY.BO,Valor Estate Limited
MOIL.BO,MOIL Limited
MINDACORP.BO,Minda Corporation Limited
ELECTCAST.BO,Electrosteel Castings Limited
AZAD.BO,Azad Engineering Limited
MAPMYINDIA.BO,C. E. Info Systems Limited
SAREGAMA.BO,Saregama India Limited
RTNINDIA.BO,RattanIndia Enterprises Limited
IBULPP.BO,Indiabulls Housing Finance Limited
IBULHSGFIN.BO,Indiabulls Housing Finance Limited
CAPLIPOINT.BO,CAPLIN POINT LABORATORIES LTD.
RENUKA.BO,Shree Renuka Sugars Limited
INDIGRID.BO,India Grid Trust
LATENTVIEW.BO,Latent View Analytics Limited
TTKPRESTIG.BO,TTK Prestige Limited
VARROC.BO,Varroc Engineering Limited
GLS.BO,Glenmark Life Sciences Limited
REDTAPE.BO,Redtape Limited
JKTYRE.BO,JK Tyre & Industries Limited
PURVA.BO,Puravankara Limited
ALKYLAMINE.BO,Alkyl Amines Chemicals Limited
CEATLTD.BO,CEAT Limited
SAFARI.BO,SAFARI INDUSTRIES (INDIA) LTD.
SFL.BO,Sheela Foam Limited
RTNPOWER.BO,RattanIndia Power Limited
GNFC.BO,Gujarat Narmada Valley Fertilizers & Chemicals Limited
METROPOLIS.BO,Metropolis Healthcare Limited
THOMASCOOK.BO,Thomas Cook (India) Limited
CERA.BO,Cera Sanitaryware Limited
CRAFTSMAN.BO,Craftsman Automation Limited
JUNIPER.BO,Juniper Hotels Limited
KIRLFER.BO,Kirloskar Ferrous Industries Limited
ARVIND.BO,Arvind Limited
CHEMPLASTS.BO,Chemplast Sanmar Limited
GPPL.BO,Gujarat Pipavav Port Limited
JKLAKSHMI.BO,JK Lakshmi Cement Limited
UJJIVANSFB.BO,Ujjivan Small Finance Bank Limited
ROUTE.BO,Route Mobile Limited
SAPPHIRE.BO,Sapphire Foods India Limited
MAHLIFE.BO,Mahindra Lifespace Developers Limited
HOMEFIRST.BO,Home First Finance Company India Limited
PCBL.BO,PCBL Limited
GALAXYSURF.BO,Galaxy Surfactants Limited
ZENTEC.BO,Zen Technologies Limited
MAHSCOOTER.BO,Maharashtra Scooters Ltd.
NAVA.BO,Nava Limited
RCF.BO,Rashtriya Chemicals and Fertilizers Limited
EMIL.BO,Electronics Mart India Limited
SBFC.BO,SBFC Finance Limited
QUESS.BO,Quess Corp Limited
MAHSEAMLES.BO,Maharashtra Seamless Limited
ASTRAMICRO.BO,Astra Microwave Products Limited
LTFOODS.BO,LT Foods Limited
ESABINDIA.BO,ESAB India Limited
STARCEMENT.BO,Star Cement Limited
STAR.BO,Strides Pharma Science Limited
KIRLPNU.BO,Kirloskar Pneumatic Company Limited
RUSTOMJEE.BO,Keystone Realtors Limited
GSFC.BO,Gujarat State Fertilizers & Chemicals Limited
GENUSPOWER.BO,Genus Power Infrastructures Limited
NETWORK18.BO,Network18 Media & Investments Limited
ISGEC.BO,Isgec Heavy Engineering Limited
INFIBEAM.BO,Infibeam Avenues Limited
GRAVITA.BO,Gravita India Limited
JUSTDIAL.BO,Just Dial Limited
IBREALEST.BO,Indiabulls Real Estate Limited
WOCKPHARMA.BO,Wockhardt Limited
SANDUMA.BO,The Sandur Manganese & Iron Ores Limited
PGINVIT.BO,Powergrid Infrastructure Investment Trust
SYMPHONY.BO,Symphony Limited
BALRAMCHIN.BO,Balrampur Chini Mills Limited
TRIVENI.BO,Triveni Engineering & Industries Limited
RATEGAIN.BO,RateGain Travel Technologies Limited
MHRIL.BO,Mahindra Holidays & Resorts India Limited
RAJESHEXPO.BO,Rajesh Exports Limited
ANURAS.BO,Anupam Rasayan India Limited
MIDHANI.BO,Mishra Dhatu Nigam Limited
CAMPUS.BO,Campus Activewear Limited
IWEL.BO,Inox Wind Energy Limited
HEG.BO,HEG Limited
TEXRAIL.BO,Texmaco Rail & Engineering Limited
PGHL.BO,Procter & Gamble Health Limited
NEULANDLAB.BO,Neuland Laboratories Limited
RESPONIND.BO,Responsive Industries Limited
MASTEK.BO,Mastek Limited
SARDAEN.BO,Sarda Energy & Minerals Limited
JKPAPER.BO,JK Paper Limited
MEDPLUS.BO,MedPlus Health Services Limited
ACI.BO,Archean Chemical Industries Limited
SYRMA.BO,Syrma SGS Technology Limited
GANESHHOUC.BO,Ganesh Housing Corporation Limited
GARFIBRES.BO,Garware Technical Fibres Limited
RELINFRA.BO,Reliance Infrastructure Limited
KTKBANK.BO,The Karnataka Bank Limited
SUNTECK.BO,Sunteck Realty Limited
BECTORFOOD.BO,Mrs. Bectors Food Specialities Limited
HCC.BO,Hindustan Construction Company Limited
AHLUCONT.BO,Ahluwalia Contracts (India) Limited
PRSMJOHNSN.BO,Prism Johnson Limited
SHOPERSTOP.BO,Shoppers Stop Limited
JLHL.BO,Jupiter Life Line Hospitals Limited
AVANTIFEED.BO,AVANTI FEEDS LTD.
LLOYDSENGG.BO,Lloyds Engineering Works Limited
CCL.BO,CCL Products (India) Limited
ITDCEM.BO,ITD Cementation India Limited
VIJAYA.BO,Vijaya Diagnostic Centre Limited
JUBLINGREA.BO,Jubilant Ingrevia Limited
JMFINANCIL.BO,JM Financial Limited
POWERMECH.BO,Power Mech Projects Limited
GREENLAM.BO,Greenlam Industries Ltd
PRUDENT.BO,Prudent Corporate Advisory Services Limited
CMSINFO.BO,CMS Info Systems Limited
TVSSCS.BO,TVS Supply Chain Solutions Limited
GALLANTT.BO,Gallantt Ispat Limited
PGEL.BO,PG Electroplast Limited
PRINCEPIPE.BO,Prince Pipes and Fittings Limited
SPARC.BO,Sun Pharma Advanced Research Company Limited
SENCO.BO,Senco Gold Limited
RELIGARE.BO,Religare Enterprises Limited
INDIASHLTR.BO,India Shelter Finance Corporation Limited
TV18BRDCST.BO,TV18 Broadcast Limited
ICIL.BO,Indo Count Industries Limited
FDC.BO,FDC Limited
DEEPAKFERT.BO,Deepak Fertilisers And Petrochemicals Corporation Limited
EASEMYTRIP.BO,Easy Trip Planners Limited
JSWHL.BO,JSW Holdings Limited
KENNAMET.BO,Kennametal India Limited
MANINFRA.BO,Man Infraconstruction Limited
TMB.BO,Tamilnad Mercantile Bank Limited
CHOICEIN.BO,Choice International Limited
JINDWORLD.BO,Jindal Worldwide Limited
DBL.BO,Dilip Buildcon Limited
AEGISLOG.BO,Aegis Logistics Limited
DHANUKA.BO,Dhanuka Agritech Limited
SOUTHBANK.BO,The South Indian Bank Limited
JSFB.BO,Jana Small Finance Bank Limited
BALAMINES.BO,Balaji Amines Limited
AURIONPRO.BO,Aurionpro Solutions Limited
MARKSANS.BO,Marksans Pharma Limited
EMUDHRA.BO,eMudhra Limited
SUPRAJIT.BO,Suprajit Engineering Limited
TCI.BO,Transport Corporation of India Limited
KRBL.BO,KRBL Limited
WABAG.BO,VA Tech Wabag Limited
